Product Title,Brand,Product Price,Discount Percentage,Discount Amount,Product MRP,Ratings of 5 stars,Number of Ratings,Sales last month,5 stars in %,4 stars in %,3 stars in %,2 stars in %,1 star in %,5 star,4 star,3 star,2 star,1 star
JUSBALL - VIRAT BANGLORE Cricket Jersey 2023-24 -(Mens & Kids) Cricket  ,JUSBALL,Rs.299,-67%,-Rs600,Rs.899,Null,293,null in February,51%,21%,11%,6%,12%,149.43,61.53,32.23,17.58,35.16
Lymio Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-01-04)  ,Lymio,Rs.649,-87%,-Rs4350,"Rs.4,999",Null,493,null in February,60%,16%,5%,4%,15%,295.8,78.88,24.650000000000002,19.72,73.95
Allen Solly Men's Regular Fit Polo  ,Allen Solly,Rs.699,-36%,-Rs400,"Rs.1,099",Null,68,null in February,50%,27%,11%,4%,7%,34.0,18.36,7.48,2.72,4.760000000000001
"Levi's 009 Neo Brief for Men with Contoured Double Pouch, Tag Free Comfort & Smartskin Technology (Pack of 2)  ",Levi's,Rs.287,-30%,-Rs123,Rs.410,Null,19,null in February,44%,28%,14%,5%,9%,8.36,5.32,2.66,0.9500000000000001,1.71
ANNI DESIGNER Women Kurta with Palazzo  ,ANNI DESIGNER,Rs.489,-81%,-Rs2110,"Rs.2,599",Null,311,null in February,54%,18%,12%,5%,12%,167.94,55.98,37.32,15.55,37.32
"SJeware 12 Pairs Solid Cotton Ankle Length Socks for Men & Women, Multicolor, Pack of 12, Free Size  ",SJeware,Rs.199,-85%,-Rs1100,"Rs.1,299",4.1,7,null in June,51%,24%,13%,4%,8%,3.5700000000000003,1.68,0.91,0.28,0.56
Lymio Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-01-04)  ,Lymio,Rs.649,-87%,-Rs4350,"Rs.4,999",3.6,4,null in June,45%,18%,11%,6%,20%,1.8,0.72,0.44,0.24,0.8
"SJeware 12 Pairs Solid Cotton Ankle Length Socks for Men & Women, Multicolor, Pack of 12, Free Size  ",SJeware,Rs.199,-85%,-Rs1100,"Rs.1,299",4.1,7,null in June,51%,24%,13%,4%,8%,3.5700000000000003,1.68,0.91,0.28,0.56
Allen Solly Men's Regular Fit Polo  ,Allen Solly,Rs.798,-27%,-Rs301,"Rs.1,099",4.1,70,null in June,50%,27%,11%,4%,8%,35.0,18.900000000000002,7.7,2.8000000000000003,5.6000000000000005
Lymio Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-01-04)  ,Lymio,Rs.649,-87%,-Rs4350,"Rs.4,999",3.6,4,null in June,45%,18%,11%,6%,20%,1.8,0.72,0.44,0.24,0.8
Lymio Men T-Shirt || T-Shirt for Men || Plain T Shirt || T-Shirt (Polo-18-21)  ,Lymio,Rs.379,-87%,-Rs2620,"Rs.2,999",3.5,1,null in June,47%,14%,10%,6%,23%,0.47,0.14,0.1,0.06,0.23
Van Heusen Men's Solid Polo T Shirt  ,Van Heusen,Rs.799,-27%,-Rs300,"Rs.1,099",4.0,37,null in June,48%,27%,12%,5%,8%,17.759999999999998,9.99,4.4399999999999995,1.85,2.96
KLOSIA Women Printed Flared A-Line Kurta with Pant and Dupatta Suit Set | Kurta Set  ,KLOSIA,Rs.789,-74%,-Rs2210,"Rs.2,999",4.5,126,null in June,80%,8%,2%,5%,5%,100.80000000000001,10.08,2.52,6.300000000000001,6.300000000000001
ANNI DESIGNER Women's Kurta with Palazzo  ,ANNI DESIGNER,Rs.479,-82%,-Rs2120,"Rs.2,599",3.7,2,null in June,43%,22%,14%,7%,14%,0.86,0.44,0.28,0.14,0.28
Amazon Brand - Symbol Men's Cotton Rich Polo T Shirt | Collar Tshirts | Half Sleeves | Plain-Regular Fit  ,Amazon Brand - Symbol,Rs.379,-66%,-Rs720,"Rs.1,099",3.9,28,null in June,43%,27%,15%,6%,9%,12.04,7.5600000000000005,4.2,1.68,2.52
Allen Solly Men's Regular Fit Polo  ,Allen Solly,Rs.798,-27%,-Rs301,"Rs.1,099",4.1,70,null in June,50%,27%,11%,4%,8%,35.0,18.900000000000002,7.7,2.8000000000000003,5.6000000000000005
Jockey 8820 Men's Super Combed Cotton Round Neck Sleeveless Vest with Extended Length for Easy Tuck (Pack of 3)  ,Jockey,Rs.626,-5%,-Rs33,Rs.659,4.3,7,null in June,59%,24%,8%,2%,6%,4.13,1.68,0.56,0.14,0.42
Lymio Men T-Shirt || T-Shirt for Men || Plain T Shirt || T-Shirt (Polo-18-21)  ,Lymio,Rs.379,-87%,-Rs2620,"Rs.2,999",3.5,1,null in June,47%,14%,10%,6%,23%,0.47,0.14,0.1,0.06,0.23
Van Heusen Men's Solid Polo T Shirt  ,Van Heusen,Rs.799,-27%,-Rs300,"Rs.1,099",4.0,37,null in June,48%,27%,12%,5%,8%,17.759999999999998,9.99,4.4399999999999995,1.85,2.96
THE CLOWNFISH Polyester Men's Waterproof Standard Length Raincoat Double Coating Reversible Rain Suit With Hood & Inner Mobile Pocket. Set Of Top And Bottom. Printed Plastic Pouch  ,THE CLOWNFISH,Rs.579,-28%,-Rs220,Rs.799,3.9,10,null in June,46%,28%,11%,5%,10%,4.6000000000000005,2.8000000000000003,1.1,0.5,1.0
KLOSIA Women Printed Flared A-Line Kurta with Pant and Dupatta Suit Set | Kurta Set  ,KLOSIA,Rs.789,-74%,-Rs2210,"Rs.2,999",4.5,126,null in June,80%,8%,2%,5%,5%,100.80000000000001,10.08,2.52,6.300000000000001,6.300000000000001
GoSriKi Women's Rayon Blend Straight Printed Kurta with Pant  ,GoSriKi,Rs.479,-82%,-Rs2120,"Rs.2,599",3.6,912,null in June,42%,20%,12%,7%,18%,383.03999999999996,182.4,109.44,63.84,164.16
BLINKIN Women Cotton Casual Style Pyjamas Combo Pack Of 2 With Side Pockets  ,BLINKIN,Rs.489,-69%,-Rs1110,"Rs.1,599",3.9,12,null in June,45%,26%,15%,6%,9%,5.4,3.12,1.7999999999999998,0.72,1.08
ANNI DESIGNER Women's Kurta with Palazzo  ,ANNI DESIGNER,Rs.479,-82%,-Rs2120,"Rs.2,599",3.7,2,null in June,43%,22%,14%,7%,14%,0.86,0.44,0.28,0.14,0.28
Rupa Women Cotton Panty  ,Rupa,Rs.281,-22%,-Rs79,Rs.360,4.0,3,null in June,45%,27%,15%,6%,7%,1.35,0.81,0.44999999999999996,0.18,0.21000000000000002
Van Heusen Cotton Men's Boxer Briefs  ,Van Heusen,Rs.476,-19%,-Rs112,Rs.588,4.1,12,null in June,100%,50%,27%,11%,4%,12.0,6.0,3.24,1.32,0.48
